clone_id,experiment,plate,well,protein_GFP,protein_mScarlet,filtered_cells,in_validated_1065_set,ddr_protein_GFP,ddr_protein_mScarlet
1,HAP1_cancer,plate1,A01,CBFB,PPP2R1A,3,False,False,True
2,HAP1_cancer,plate1,A02,RFC1,RB1,938,True,True,True
11,HAP1_cancer,plate1,A14,NUP133,CREBBP,317,True,True,True
14,HAP1_cancer,plate1,A17,TCF12,SMC1A,598,True,False,True
16,HAP1_cancer,plate1,A19,MYH9,CHD4,357,False,False,True
21,HAP1_cancer,plate1,B03,CHD4,USP9X,164,False,True,False
25,HAP1_cancer,plate1,B08,CHD3,IDH2,343,True,True,False
29,HAP1_cancer,plate1,B13,TSC1,SMARCA4,201,True,False,True
34,HAP1_cancer,plate1,B19,RPS6KA3,DHX9,8,False,True,False
36,HAP1_cancer,plate1,B21,SMARCB1,PTMA,668,True,True,False
37,HAP1_cancer,plate1,B22,CUL1,CSDE1,1026,False,True,False
38,HAP1_cancer,plate1,B23,JAK1,NUP133,1110,False,False,True
39,HAP1_cancer,plate1,B24,TP53,FLNA,724,False,True,False
51,HAP1_cancer,plate1,C12,SMARCA4,DDX3X,558,False,True,False
53,HAP1_cancer,plate1,C14,SMARCA4,DDX3X,623,False,True,False
58,HAP1_cancer,plate1,C19,DHX9,TBL1XR1,309,True,False,True
59,HAP1_cancer,plate1,C20,KMT2A,FLNA,77,False,True,False
61,HAP1_cancer,plate1,C23,CUL1,EIF1AX,1155,False,True,False
62,HAP1_cancer,plate1,C24,NCOR1,EZH2,576,False,True,True
72,HAP1_cancer,plate1,D13,SPTAN1,SMARCA4,158,False,False,True
73,HAP1_cancer,plate1,D15,CHD4,SMAD4,639,True,True,False
74,HAP1_cancer,plate1,D16,CUL1,NonTargeting,1219,True,True,False
80,HAP1_cancer,plate1,D22,PTCH1,CHD4,274,True,False,True
81,HAP1_cancer,plate1,D23,RAC1,SMARCA4,260,True,False,True
85,HAP1_cancer,plate1,E03,RFC1,FLNA,111,False,True,False
89,HAP1_cancer,plate1,E07,SMARCA4,CUL1,1135,True,True,True
93,HAP1_cancer,plate1,E11,SMARCA4,DDX3X,1066,False,True,False
96,HAP1_cancer,plate1,E14,SMARCA4,HUWE1,1032,True,True,False
97,HAP1_cancer,plate1,E15,STAG2,FUBP1,666,True,True,False
99,HAP1_cancer,plate1,E17,MAX,STAG2,1200,True,False,True
103,HAP1_cancer,plate1,E22,RFC1,MSH2,24,False,True,True
106,HAP1_cancer,plate1,F01,RFC1,RHOA,187,False,True,False
108,HAP1_cancer,plate1,F03,MAX,CUL1,326,False,False,True
112,HAP1_cancer,plate1,F07,CUL1,CSDE1,984,False,True,False
113,HAP1_cancer,plate1,F08,SMARCA4,PTMA,159,False,True,False
114,HAP1_cancer,plate1,F09,EP300,IDH1,706,True,True,False
116,HAP1_cancer,plate1,F12,SMARCA1,CUL1,383,True,False,True
119,HAP1_cancer,plate1,F16,CUL1,RAC1,1263,False,True,False
121,HAP1_cancer,plate1,F18,SMARCA4,CHD4,1209,True,True,True
132,HAP1_cancer,plate1,G05,TCF12,CDKN1B,2,False,False,True
135,HAP1_cancer,plate1,G09,TP53,CUL1,983,False,True,True
137,HAP1_cancer,plate1,G11,NUP93,TBL1XR1,1152,True,True,True
139,HAP1_cancer,plate1,G13,MYH9,CHD4,282,False,False,True
141,HAP1_cancer,plate1,G15,SMARCA4,USP9X,362,False,True,False
143,HAP1_cancer,plate1,G17,JAK1,NUP133,1456,False,False,True
147,HAP1_cancer,plate1,G22,SMARCA4,CSDE1,278,True,True,False
148,HAP1_cancer,plate1,G23,CUL1,CTNND1,1018,True,True,False
149,HAP1_cancer,plate1,G24,MAX,CHD4,120,False,False,True
150,HAP1_cancer,plate1,H01,CUL3,PPP2R1A,500,True,False,True
151,HAP1_cancer,plate1,H02,DIAPH2,TBL1XR1,457,True,False,True
154,HAP1_cancer,plate1,H06,SIN3A,TP53,154,False,False,True
156,HAP1_cancer,plate1,H08,NCOR1,MYH9,196,False,True,False
157,HAP1_cancer,plate1,H09,BRCA1,FLNA,1250,True,True,False
158,HAP1_cancer,plate1,H11,TAF1,CHD4,237,True,False,True
159,HAP1_cancer,plate1,H13,NUP133,FLNA,1378,True,True,False
164,HAP1_cancer,plate1,H18,CUL1,RAC1,1528,True,True,False
170,HAP1_cancer,plate1,I02,CTNND1,MAPK1,289,True,False,True
171,HAP1_cancer,plate1,I03,DMD,RAD21,331,True,False,True
174,HAP1_cancer,plate1,I07,POLE,TBL1XR1,639,True,True,True
177,HAP1_cancer,plate1,I11,CUL1,MAPK1,1670,True,True,True
179,HAP1_cancer,plate1,I13,TCF12,SMARCA4,321,False,False,True
182,HAP1_cancer,plate1,I16,SMARCA4,PHF6,14,False,True,False
184,HAP1_cancer,plate1,I18,STAG2,PTMA,843,False,True,False
186,HAP1_cancer,plate1,I20,CHD4,EEF2,17,False,True,False
194,HAP1_cancer,plate1,J08,TBL1XR1,PTPN11,820,True,True,False
195,HAP1_cancer,plate1,J09,STAG2,PTMA,55,False,True,False
197,HAP1_cancer,plate1,J11,STAG2,USP9X,675,True,True,False
200,HAP1_cancer,plate1,J14,ATF7IP,USP9X,670,True,True,False
201,HAP1_cancer,plate1,J15,MAX,CHD4,332,True,False,True
213,HAP1_cancer,plate1,K03,CUL1,CSDE1,849,False,True,False
215,HAP1_cancer,plate1,K05,CUL1,DAZAP1,849,True,True,False
223,HAP1_cancer,plate1,K15,MACF1,STAG2,1534,True,False,True
224,HAP1_cancer,plate1,K16,CHD4,PTMA,458,True,True,False
227,HAP1_cancer,plate1,K19,NF2,MSH2,791,True,False,True
228,HAP1_cancer,plate1,K20,KDM5C,PPP2R1A,740,False,True,True
233,HAP1_cancer,plate1,L01,KMT2B,DACH1,1193,True,True,False
237,HAP1_cancer,plate1,L05,TBL1XR1,FLNA,294,False,True,False
240,HAP1_cancer,plate1,L08,SMC3,CTNND1,1017,True,True,False
243,HAP1_cancer,plate1,L11,SMARCA4,DDX3X,1043,False,True,False
245,HAP1_cancer,plate1,L13,MSH2,STAG2,84,False,True,True
247,HAP1_cancer,plate1,L15,TP53,FLNA,331,False,True,False
248,HAP1_cancer,plate1,L16,CUL1,CSDE1,786,False,True,False
256,HAP1_cancer,plate1,L24,CUL1,CTCF,920,True,True,False
257,HAP1_cancer,plate1,M01,JAK1,NUP133,1276,False,False,True
264,HAP1_cancer,plate1,M08,CHD4,USP9X,1315,True,True,False
266,HAP1_cancer,plate1,M10,CUL1,STAG2,1351,True,True,True
268,HAP1_cancer,plate1,M12,SMC3,CHD4,191,False,True,True
272,HAP1_cancer,plate1,M17,CUL1,RAC1,1351,False,True,False
273,HAP1_cancer,plate1,M19,MAX,RB1,1164,True,False,True
283,HAP1_cancer,plate1,N05,TCF12,SMARCA4,1331,True,False,True
284,HAP1_cancer,plate1,N06,SMARCA1,SMC1A,13,False,False,True
291,HAP1_cancer,plate1,N13,ERBB3,TBL1XR1,526,True,False,True
292,HAP1_cancer,plate1,N14,CUL1,RHEB,182,False,True,False
294,HAP1_cancer,plate1,N16,PSIP1,PPP2R1A,14,False,False,True
297,HAP1_cancer,plate1,N19,CUL1,CSDE1,234,False,True,False
300,HAP1_cancer,plate1,N22,CHD4,FLNA,732,False,True,False
301,HAP1_cancer,plate1,N23,SMARCB1,USP9X,319,True,True,False
307,HAP1_cancer,plate1,O05,TBL1XR1,FLNA,751,True,True,False
308,HAP1_cancer,plate1,O06,CUL1,RAC1,542,False,True,False
310,HAP1_cancer,plate1,O08,NCOR1,EZH2,1417,True,True,True
312,HAP1_cancer,plate1,O10,KIF1A,STAG2,479,True,False,True
313,HAP1_cancer,plate1,O11,HUWE1,CHD4,265,True,False,True
322,HAP1_cancer,plate1,O23,PRKAR1A,PPP2R1A,1075,False,False,True
325,HAP1_cancer,plate1,P03,CUL1,RAC1,1216,False,True,False
327,HAP1_cancer,plate1,P06,SMARCA4,STAG2,397,True,True,True
328,HAP1_cancer,plate1,P07,DDX3X,ATF7IP,648,True,False,True
330,HAP1_cancer,plate1,P09,CUL1,EIF1AX,1285,False,True,False
335,HAP1_cancer,plate1,P16,SMARCA4,DDX3X,499,False,True,False
338,HAP1_cancer,plate1,P21,TP53,DAZAP1,967,True,True,False
341,HAP1_cancer,plate1,P24,KDM5C,TMSB4X,978,True,True,False
343,HAP1_cancer,plate2,A02,CUL1,RBM10,1384,True,True,False
350,HAP1_cancer,plate2,A11,RFC1,DDX3X,1733,True,True,False
359,HAP1_cancer,plate2,A21,TP53,RBM10,943,True,True,False
363,HAP1_cancer,plate2,B01,USP9X,PPP2R1A,437,False,False,True
364,HAP1_cancer,plate2,B02,RBM10,MSH2,272,False,False,True
365,HAP1_cancer,plate2,B03,MYH9,TBL1XR1,1003,True,False,True
369,HAP1_cancer,plate2,B07,SMARCA4,SF1,376,False,True,False
376,HAP1_cancer,plate2,B15,CUL1,MAPK1,1124,False,True,True
377,HAP1_cancer,plate2,B16,CHD4,CUL3,489,True,True,False
389,HAP1_cancer,plate2,C05,BRCA2,KIF1A,1023,True,True,False
394,HAP1_cancer,plate2,C10,TP53,FUBP1,179,False,True,False
401,HAP1_cancer,plate2,C20,XPO1,GTF2I,526,True,True,False
402,HAP1_cancer,plate2,C22,CUL1,EEF2,72,False,True,False
403,HAP1_cancer,plate2,C23,SMARCA4,PTMA,165,False,True,False
404,HAP1_cancer,plate2,C24,IL7R,RAD21,1046,False,False,True
407,HAP1_cancer,plate2,D03,NCOR1,MYH9,766,False,True,False
408,HAP1_cancer,plate2,D04,CUL1,EIF1AX,1242,False,True,False
414,HAP1_cancer,plate2,D10,RFC1,B2M,876,True,True,False
416,HAP1_cancer,plate2,D12,RFC1,ZMYM3,36,False,True,False
417,HAP1_cancer,plate2,D14,CHD4,FLNA,113,False,True,False
420,HAP1_cancer,plate2,D17,SMARCA4,FLNA,676,True,True,False
421,HAP1_cancer,plate2,D18,XPO1,DDX3X,748,True,True,False
424,HAP1_cancer,plate2,D21,CUL1,MAPK1,1617,False,True,True
427,HAP1_cancer,plate2,D24,CHD4,DHX9,711,True,True,False
430,HAP1_cancer,plate2,E03,CUL1,RAC1,1284,False,True,False
432,HAP1_cancer,plate2,E05,TBL1XR1,TMSB4X,581,True,True,False
435,HAP1_cancer,plate2,E09,EGFR,SMARCA4,884,True,False,True
438,HAP1_cancer,plate2,E13,CHD4,FLNA,12,False,True,False
441,HAP1_cancer,plate2,E16,CUL1,PRKAR1A,81,False,True,False
442,HAP1_cancer,plate2,E17,CHD4,FLNA,352,False,True,False
445,HAP1_cancer,plate2,E20,CUL1,MAPK1,959,False,True,True
449,HAP1_cancer,plate2,F01,THRAP3,CHD4,1551,True,False,True
450,HAP1_cancer,plate2,F02,RBM10,ARID1A,218,True,False,True
457,HAP1_cancer,plate2,F10,MSH2,TMSB4X,480,True,True,False
459,HAP1_cancer,plate2,F12,DIAPH2,RB1,869,True,False,True
460,HAP1_cancer,plate2,F13,NCOR1,MED12,70,False,True,False
462,HAP1_cancer,plate2,F15,NUP93,FLNA,315,False,True,False
464,HAP1_cancer,plate2,F17,MACF1,TP53,264,True,False,True
465,HAP1_cancer,plate2,F18,CBFB,CUL1,23,False,False,True
469,HAP1_cancer,plate2,F22,PPP2R1A,EIF1AX,845,True,True,False
470,HAP1_cancer,plate2,F23,MYH9,SMARCA4,779,False,False,True
472,HAP1_cancer,plate2,G01,SMARCA4,DDX3X,1199,True,True,False
473,HAP1_cancer,plate2,G02,JAK1,CDKN1B,1122,False,False,True
474,HAP1_cancer,plate2,G03,PPP2R1A,GTF2I,74,False,True,False
477,HAP1_cancer,plate2,G06,RFC1,DDX3X,1664,False,True,False
482,HAP1_cancer,plate2,G12,CUL1,RAC1,1293,False,True,False
489,HAP1_cancer,plate2,G20,JAK1,NUP133,1404,False,False,True
497,HAP1_cancer,plate2,H04,NUP93,EEF2,9,False,True,False
498,HAP1_cancer,plate2,H05,JAK1,NUP133,1093,False,False,True
500,HAP1_cancer,plate2,H08,POLE,TBL1XR1,101,False,True,True
501,HAP1_cancer,plate2,H09,PTPRD,PBRM1,684,True,False,True
504,HAP1_cancer,plate2,H12,CHD4,USP9X,965,False,True,False
505,HAP1_cancer,plate2,H13,CTNNB1,SMARCA4,1112,True,False,True
507,HAP1_cancer,plate2,H15,SPTAN1,TP53,453,True,False,True
508,HAP1_cancer,plate2,H18,ARID1A,RHOA,77,False,True,False
512,HAP1_cancer,plate2,H23,PPP2R1A,NPM1,688,True,True,False
517,HAP1_cancer,plate2,I04,RFC1,TP53,1215,False,True,True
518,HAP1_cancer,plate2,I05,MAX,CUL1,1105,True,False,True
522,HAP1_cancer,plate2,I10,STAG2,PTMA,939,True,True,False
525,HAP1_cancer,plate2,I13,NCOR1,TMSB4X,220,False,True,False
529,HAP1_cancer,plate2,I17,MYH9,MAPK1,27,False,False,True
531,HAP1_cancer,plate2,I19,TBL1XR1,FLNA,519,False,True,False
533,HAP1_cancer,plate2,I21,NCOR1,HUWE1,320,False,True,False
535,HAP1_cancer,plate2,I23,EP300,ARID2,345,True,True,True
538,HAP1_cancer,plate2,J02,HUWE1,MSH2,96,False,False,True
539,HAP1_cancer,plate2,J03,NSD2,CHD4,1076,True,True,True
541,HAP1_cancer,plate2,J05,NCOR1,HUWE1,144,False,True,False
542,HAP1_cancer,plate2,J06,STAG2,FLNA,837,False,True,False
545,HAP1_cancer,plate2,J09,TP53,CSDE1,893,True,True,False
551,HAP1_cancer,plate2,J16,NUP93,TBL1XR1,563,False,True,True
553,HAP1_cancer,plate2,J18,PPP2R1A,CHD4,406,True,True,True
557,HAP1_cancer,plate2,J22,PPP2R1A,FLNA,1151,True,True,False
558,HAP1_cancer,plate2,J23,MAX,PPP2R1A,1442,True,False,True
561,HAP1_cancer,plate2,K02,MYH9,MAPK1,984,True,False,True
573,HAP1_cancer,plate2,K14,SMC3,MAPK1,518,False,True,True
579,HAP1_cancer,plate2,K21,KDM5C,RXRA,1213,True,True,False
581,HAP1_cancer,plate2,K23,CUL1,CTNND1,554,False,True,False
585,HAP1_cancer,plate2,L03,TCF12,SMARCA4,751,False,False,True
586,HAP1_cancer,plate2,L04,CREBBP,DDX3X,101,False,True,False
589,HAP1_cancer,plate2,L07,SMARCA4,RB1,1440,True,True,True
591,HAP1_cancer,plate2,L10,TP53,CUL1,1073,True,True,True
593,HAP1_cancer,plate2,L13,RBM10,CHD4,402,True,False,True
594,HAP1_cancer,plate2,L14,CTNNB1,SMARCA4,809,False,False,True
595,HAP1_cancer,plate2,L15,JAK1,CDKN1B,1017,False,False,True
596,HAP1_cancer,plate2,L16,THRAP3,SMARCA4,79,False,False,True
602,HAP1_cancer,plate2,L22,DDX3X,RB1,1266,True,False,True
604,HAP1_cancer,plate2,L24,CHD4,FLNA,106,False,True,False
605,HAP1_cancer,plate2,M01,SMARCA4,FUBP1,340,True,True,False
609,HAP1_cancer,plate2,M05,RBM10,STAG2,680,True,False,True
613,HAP1_cancer,plate2,M09,TCF12,CDKN1B,713,True,False,True
614,HAP1_cancer,plate2,M10,KMT2D,MSH2,812,True,True,True
615,HAP1_cancer,plate2,M11,POLE,RBM10,1165,True,True,False
617,HAP1_cancer,plate2,M13,TP53,FLNA,627,False,True,False
619,HAP1_cancer,plate2,M15,RFC1,PRKAR1A,619,True,True,False
622,HAP1_cancer,plate2,M20,NCOR1,TMSB4X,1618,True,True,False
624,HAP1_cancer,plate2,M22,SPTAN1,PPP2R1A,164,False,False,True
