gene,vpcells_localization,hpa_localization,reactome_pathways,source
ADRM1,"Cytosol, Nucleoplasm","Cytosol, Nucleoplasm, Plasma Membrane",Cell_Cycle_Checkpoints,Reactome
AKT1,"Cytosol, Nucleoplasm","Cytoskeleton, Nucleoplasm",Regulation_of_TP53_Activity,Reactome
ARID1A,"Nuclear speckles, Nucleoplasm",Nucleoplasm,Chromatin_modifying_enzymes,Reactome
ARID2,"Nuclear speckles, Nucleoplasm",Nucleoplasm,Chromatin_modifying_enzymes,Reactome
ARID5B,Vesicles,"Cytosol, Endoplasmic Reticulum, Nucleoplasm, Plasma memrane",Chromatin_modifying_enzymes,Reactome
ATF7IP,"Nuclear speckles, Nucleoplasm","Nuclear speckles, Nucleoplasm",Chromatin_modifying_enzymes,Reactome
ATR,"Vesicles, Plasma membrane","Golgi apparatus, Nucleoplasm",Cell_Cycle_Checkpoints; DNA_Double-Strand_Break_Repair; Fanconi_Anemia_Pathway,Reactome
BRCA1,Vesicles,"Nuclear speckles, Nucleoplasm",Cell_Cycle_Checkpoints; DNA_Double-Strand_Break_Repair; SUMOylation_of_DDR_proteins,Reactome
BRCA2,Vesicles,"Cytosol, Nucleoplasm",DNA_Double-Strand_Break_Repair,Reactome
CDC20,"Cytosol, Nucleoplasm","Cytosol, Nucleoplasm",Cell_Cycle_Checkpoints,Reactome
CDK1,Nucleoplasm,"Cytosol, Nucleoplasm",Cell_Cycle_Checkpoints; Regulation_of_TP53_Activity,Reactome
CDK4,Vesicles,"Cytosol, Nuclear membrane, Nucleoli, Nucleoplasm",Cellular_Senescence; Chromatin_modifying_enzymes,Reactome
CDKN1B,"Cytosol, Nucleoplasm","Nucleoplasm, Vesicles",Cell_Cycle_Checkpoints; Cellular_Senescence,Reactome
CENPX,Cytosol,NA,Fanconi_Anemia_Pathway,Reactome
CHD3,"Nuclear speckles, Nucleoplasm","Cytoskeleton, Nucleoli, Nucleoplasm",Chromatin_modifying_enzymes,Reactome
CHD4,"Nuclear speckles, Nucleoplasm",Nucleoplasm,Chromatin_modifying_enzymes,Reactome
CLSPN,"Cytosol, Nucleoplasm","Golgi apparatus, Nucleoplasm",Cell_Cycle_Checkpoints; DNA_Double-Strand_Break_Repair,Reactome
COPS2,"Cytosol, Nucleoplasm","Cytoskeleton, Vesicles",Nucleotide_Excision_Repair,Reactome
COPS3,"Cytosol, Nucleoplasm","Cytosol, Nucleoplasm",Nucleotide_Excision_Repair,Reactome
COPS8,"Cytosol, Nucleoplasm","Cytosol, Nucleoplasm",Nucleotide_Excision_Repair,Reactome
CREBBP,"Nuclear speckles, Nucleoplasm","Nuclear speckles, Nucleoplasm",Chromatin_modifying_enzymes,Reactome
CSNK1A1,"Cytosol, Nucleoplasm",Cytosol,Cell_Cycle_Checkpoints,Reactome
CUL1,"Cytosol, Nucleoplasm","Nucleoli, Nucleoplasm",Cell_Cycle_Checkpoints,Reactome
CUL4B,"Cytosol, Nucleoplasm","Cytosol, Nucleoplasm",DNA_Damage_Bypass; Nucleotide_Excision_Repair,Reactome
DDB1,Nucleoplasm,Nucleoplasm,DNA_Damage_Bypass; Nucleotide_Excision_Repair,Reactome
DYNC1H1,Cytosol,"Centrosome, Cytosol",Cell_Cycle_Checkpoints,Reactome
DYNC1I2,Cytosol,"Cytoskeleton, Cytosol, Endoplasmic reticulum, Nucleoli",Cell_Cycle_Checkpoints,Reactome
DYNC1LI1,Cytosol,"Centrosome, Cytosol",Cell_Cycle_Checkpoints,Reactome
E2F3,"Nuclear speckles, Nucleoplasm","Cytosol, Nuclear speckles, Nucleoplasm",Cellular_Senescence,Reactome
ENY2,"Nuclear membrane, Nucleoplasm","Mitochondria, Nucleoplasm",Chromatin_modifying_enzymes,Reactome
EP300,Nucleoplasm,Nucleoplasm,Chromatin_modifying_enzymes,Reactome
ERCC2,"Cytosol, Nucleoplasm","Cytosol, Nucleoplasm",Nucleotide_Excision_Repair,Reactome
